file,cluster
05-067-06751_1631322__2202339___2009-09-10.tif,2
05-067-06025_17777863__2047979___2007-11-16.tif,0
05-067-06285_1631396__2202269___2009-10-15.tif,2
05-067-05384_2524903__2672655___2010-10-28.tif,0
05-067-05439_400733233__3459583___2011-12-22.tif,0
05-067-09185_17777791__2048026___2008-05-01.tif,1
05-071-09104_2524765__2670981___2010-10-07.tif,1
05-067-05593_17777172__2040243___2007-12-10.tif,0
05-071-08443_400762016__3413296___2014-08-07.tif,1
05-067-08827_400973964__3611518___2015-05-18.tif,1
05-067-05619_401201596__4065279___2017-01-27.tif,0
05-007-06201_2221102__2823003___2011-11-16.tif,1
05-071-06837_2110902__2665279___2010-12-02.tif,1
05-067-07816_400748200__3347842___2009-06-30.tif,0
05-067-09510_400957200__3611631___2015-05-18.tif,1
05-067-09135_400758555__3264657___2013-11-14.tif,0
05-067-09037_401143098__3908447___2016-07-15.tif,0
05-071-09247_2485224__3048848___2013-01-18.tif,1
05-067-08506_400909416__3663100___2015-08-14.tif,1
05-067-06957_400910195__3663109___2015-08-14.tif,2
05-067-07551_2215480__2764158___2011-08-19.tif,1
05-067-08937_2541067__2794341___2011-08-12.tif,1
05-067-08348_400948077__3626033___2015-06-11.tif,1
05-067-08860_401114223__3900319___2016-06-29.tif,1
05-067-05507_1793248__2056924___2007-07-06.tif,0
05-067-08508_2221197__2823718___2011-08-19.tif,2
05-067-08060_17777366__2038845___2007-12-10.tif,2
05-067-09085_17777133__2040310___2007-12-10.tif,0
05-067-06626_400827159__3569308___2015-03-12.tif,1
05-067-07365_400845406__3588887___2015-04-13.tif,1
05-067-06009_400979124__3718217___2015-11-09.tif,0
05-071-07082_2524688__2669931___2010-11-16.tif,1
05-067-05397_401044851__3655414___2015-07-31.tif,1
05-067-08108_400998846__3618747___2015-06-03.tif,0
05-067-07481_400995839__3611514___2015-05-18.tif,1
05-067-08909_1794197__2056521___2007-05-11.tif,2
05-067-05045_1625202__2132996___2009-08-24.tif,0
05-071-06770_1727124__3590150___2011-02-03.tif,1
05-067-09266_401195697__3948999___2016-09-06.tif,0
05-067-05566_2524930__2672654___2010-09-22.tif,0
05-071-08382_400713048__3428236___2014-08-07.tif,1
05-071-08196_2223701__2896964___2012-03-23.tif,1
05-067-09922_401201535__4065287___2017-01-27.tif,0
05-071-06538_2524829__2671916___2010-10-22.tif,1
05-071-08899_400795543__3473252___2014-10-21.tif,1
05-067-07591_401106596__3932051___2016-08-18.tif,1
05-067-07334_1794253__2056463___2007-04-20.tif,2
05-067-09861_401004701__3628116___2015-06-17.tif,0
05-067-07580_2515210__2953982___2012-07-16.tif,1
05-067-08831_400936135__3641274___2015-07-09.tif,1
05-067-07944_1149229__1223453___1999-05-07.tif,2
05-067-05021_17777458__2044246___2008-08-25.tif,0
05-067-06149_2221632__2845142___2011-09-02.tif,1
05-067-07450_401043100__3693703___2015-10-05.tif,0
05-067-07379_2510352__2532921___2009-08-27.tif,2
05-067-08737_2169918__2953890___2012-07-13.tif,1
05-067-06629_17777935__2044275___2007-10-04.tif,2
05-067-07994_401044791__3516204___2014-12-26.tif,0
05-067-05742_400999135__3626222___2015-06-12.tif,0
05-067-08843_1794387__2061814___2007-04-09.tif,2
05-067-06799_1793064__2057012___2007-05-24.tif,2
05-067-09449_400942146__3626133___2015-06-11.tif,1
05-067-05010_17777663__2048129___2008-06-02.tif,0
05-067-08669_2524890__2672671___2010-10-27.tif,2
05-067-09448_2445117__2854398___2012-01-13.tif,2
05-067-05583_17777532__2044166___2008-07-23.tif,0
05-067-08318_1332005__152250___2001-11-01.tif,1
05-067-06673_2214825__2732199___2011-06-23.tif,1
05-067-07233_1149221__193075___1999-05-07.tif,1
05-067-07035_401160923__3997340___2016-11-08.tif,2
05-067-08067_17777491__2044215___2008-08-25.tif,2
05-067-07363_1793393__2050401___2007-07-25.tif,2
05-067-07431_1793747__2056648___2009-05-14.tif,2
